,favorite_count,retweet_count,tweet_id
520,46156,23243,808344865868283904
521,0,6689,808134635716833280
522,9467,2447,808106460588765185
523,13652,3955,808001312164028416
524,15830,4125,807621403335917568
525,122433,60729,807106840509214720
526,0,8230,807059379405148160
527,14155,4278,807010152071229440
528,81736,39162,806629075125202948
529,0,6190,806620845233815552
530,5258,2159,806576416489959424
531,11096,2660,806542213899489280
532,0,13115,806242860592926720
533,6976,1341,806219024703037440
534,0,6027,805958939288408065
535,8987,2131,805932879469572096
536,7152,2053,805826884734976000
537,0,9031,805823200554876929
538,6232,1854,805520635690676224
539,9532,2837,805487436403003392
540,8457,1902,805207613751304193
541,14932,4321,804738756058218496
542,6694,2257,804475857670639616
543,0,3602,804413760345620481
544,48500,18180,804026241225523202
545,10922,3107,803773340896923648
546,0,8331,803692223237865472
547,11949,4655,803638050916102144
548,8422,2083,803380650405482500
549,0,5979,803321560782307329
550,10909,2769,803276597545603072
551,9799,2249,802952499103731712
552,0,3281,802624713319034886
553,7746,1645,802600418706604034
554,9730,2818,802572683846291456
555,17682,6556,802323869084381190
556,6915,1524,802265048156610565
557,9870,2922,802239329049477120
558,0,300,802185808107208704
559,8401,1914,801958328846974976
560,1918,262,801854953262350336
561,8915,2309,801538201127157760
562,6596,933,801285448605831168
563,26689,6689,801167903437357056
564,0,4459,801127390143516673
565,8786,2344,801115127852503040
566,750,107,800859414831898624
567,0,1828,800855607700029440
568,11412,3113,800751577355128832
569,14304,3379,800513324630806528
570,10280,2412,800459316964663297
571,0,4848,800443802682937345
572,12123,3145,800388270626521089
573,0,4425,800188575492947969
574,16640,2873,800141422401830912
575,30894,14778,800018252395122689
576,0,5260,799774291445383169
577,9145,2426,799757965289017345
578,8752,2142,799422933579902976
579,0,6220,799308762079035393
580,10796,3110,799297110730567681
581,8805,2756,799063482566066176
582,14336,5033,798933969379225600
583,8087,1608,798925684722855936
584,0,7435,798705661114773508
585,0,8769,798701998996647937
586,0,7291,798697898615730177
587,0,5571,798694562394996736
588,0,2607,798686750113755136
589,0,5311,798682547630837760
590,0,6237,798673117451325440
591,0,4361,798665375516884993
592,0,2075,798644042770751489
593,0,2206,798628517273620480
594,0,6417,798585098161549313
595,0,6610,798576900688019456
596,0,3771,798340744599797760
597,11293,2861,798209839306514432
598,12687,3521,797971864723324932
599,15795,5446,797545162159308800
600,21776,7434,797236660651966464
601,250,31,797165961484890113
602,0,10003,796904159865868288
603,8343,2132,796865951799083009
604,12919,3434,796759840936919040
605,0,8213,796563435802726400
606,8255,1972,796484825502875648
607,11994,4672,796387464403357696
608,0,16071,796177847564038144
609,35246,16071,796149749086875649
610,5383,2004,796125600683540480
611,9898,2720,796116448414461957
612,9199,2594,796080075804475393
613,11764,4148,796031486298386433
614,54280,26741,795464331001561088
